id, date_creation, titre, adresse1, code_postal, commune
011S0011002806,0001-01-01,AIN AIDE ET SERVICE SECTION BELLEY, par celles-ci,020000,019000
011S0011002807,0001-01-01,ASSOCIATION COMMUNICATIONS - RADIO - ASSISTANCES DU BUGEY 27,005010,,01150
011S0011002815,0001-01-01,ASSOCIATION TEMPS DANSE,Mairie,01110,HAUTEVILLE-LOMPNES
011S0011002820,0001-01-01,AMICALE DU 7deg REGIMENT DU MATERIEL SECTION DE LEYMENT,7deg regiment du materiel groupement de leyment,01500,SAINT-MAURICE-DE-REMENS
011S0011002822,0001-01-01,COMITE DES FETES DE PARVES,Mairie,01300,PARVES
011S0011002824,0001-01-01,SOCIETE DE PECHE DONCIEU-ARANC, assurer lentretien des cours deau,013010,Salle de la mairie
011S0011002829,0001-01-01,SUPPORTERS AMBERIEU RUGBY-CLUB,CHEZ SANDRINE MANETTA,01500,AMBERIEU-EN-BUGEY
011S0011002856,0001-01-01,ASSOCIATION COMPAGNIE LA CHARABOTTE,006000,,01110
011S0011002876,0001-01-01,CLUB AMICALE DES RETRAITES DE VIRIEU LE PETIT -LOCHIEU - CHAVORNAY, animer,009040,Mairie de virieu le petit
011S0011002880,0001-01-01,FOYER SOCIO-EDUCATIF DU COLLEGE DE BELLEY, cooperatives, de plein air, de vacances
011S0011002908,0001-01-01,POUR LA GESTION DE LA HALTE-GARDERIE DE CULOZ,007000,,
011S0011002930,0001-01-01,AMICALE DETENTE ET LOISIRS,000000,,01680
011S0011002935,0001-01-01,SKI-CLUB DINNIMOND,Mairie,01680,INNIMOND
011S0011002938,0001-01-01,GROUPEMENT DINTERET CYNEGETIQUE AGRICOLE DU FAYS,Mairie,01680,LHUIS
011S0011002943,0001-01-01,PETANQUE DU BUISIN,Place corchebois,01860,VAUX-EN-BUGEY
011S0011002976,0001-01-01,ASSOCIATION FEMININE DE GYMNASTIQUE VOLONTAIRE DE DOUVRES,MAIRIE,01500,DOUVRES
011S0011002978,0001-01-01,ABERGEMENT ANIMATION, culturelle,000000,Mairie
011S0011002991,0001-01-01,COMITE LES VERTS - AIN,024000,,01860
011S0011003003,0001-01-01,ASSOCIATION CULTURE REBELLE,2 rue vingtrinier,01500,AMBERIEU-EN-BUGEY
011S0011003011,0001-01-01,CLUB DES JEUNES DE VILLEBOIS,Allee des tilleuls,01150,VILLEBOIS
011S0011003014,0001-01-01,ASSOCIATION FUNBUSE ASSOCIATION DISSOUTE DANS MULTILOG,,01300,BELLEY
011S0011003017,0001-01-01,ASSOCIATION SPORT DETENTE ET LOISIRS,Physic form,01510,ARTEMARE
011S0011003040,0001-01-01,ASSOCIATION LES 5 EN 9 , ou y vivant",Bar des cars,"15
011S0011003041,0001-01-01,CLUB DE TIR A LARC DE CHASSE - AMBRONAY,000000,,01500
011S0011003043,0001-01-01,ASSOCIATION UN NOUVEAU REGARD SUR LA SANTE, la dietetique et de combattre par un meilleur hygiene de vie les fleaux sociaux tels que drogue,017000,10 cite en marmoerain
011S0011003050,0001-01-01,COMITE DE RESTAURATION DE LA CHAPELLE DE LORETTE,Mairie,01150,SAINTE-JULIE
011S0011003067,0001-01-01,ASSOCIATION EOLE,002020,Boulevard de verdun,
011S0011003068,0001-01-01,ASSOCIATION DES PARENTS DELEVES DE PEYRIEU DE LA GARDERIE PERI-SCOLAIRE,024000,,01300
011S0011003091,0001-01-01,ASSOCIATION POUR LE REPOS DE LA MEMOIRE DE MONSIEUR HENRI TISSOT, injure ou diffamation.",Chez mme marguerite buffard,
011S0011003099,0001-01-01,CLUB DE LAMITIE DE CHANAY,000000,,01420
011S0011003119,0001-01-01,ASSOCIATION INTER-SOCIETES,Mairie,01350,CEYZERIEU
011S0011003130,0001-01-01,ASSOCIATION DES MEDECINS GENERALISTES DE BELLEY,017145,,01300
011S0011003136,0001-01-01,ASSOCIATION ACCUEIL BELMONT VALROMEY SANTE, notamment la prevention et le traitement de lalcoolisme.",Mairie,
011S0011003145,0001-01-01,COMITE DE FLEURISSEMENT DE SERRIERES-DE-BRIORD,Chez le president,01470,SERRIERES-DE-BRIORD
011S0011003162,0001-01-01,ASSOCIATION VIGILANCE ET PAIX,Salle viallaz,01110,HAUTEVILLE-LOMPNES
011S0011003164,0001-01-01,ASSOCIATION DETENTES ET LOISIRS,Salle des jeunes,01300,BREGNIER-CORDON
011S0011003168,0001-01-01,ASSOCIATION LARBRE AUX TRESORS,Chez m. andre,01500,AMBRONAY
011S0011003170,0001-01-01,GROUPEMENT DINTERET CYNEGETIQUE DE LA BASSE RIVIERE DAIN,Mairie,01150,CHAZEY-SUR-AIN
011S0011003174,0001-01-01,CLUB DE PETANQUE DU HAUT-FURANS,MAIRIE,01510,ROSSILLON
011S0011003180,0001-01-01,ASSOCIATION MUSICLUB,006000,Route de lagnieu,
011S0011003188,0001-01-01,VOIR 3189 - ASSOCIATION COMITE DE VIGILANCE DE LA PLAINE DE LAIN,Impasse de la liberation,01150,BLYES
011S0011003207,0001-01-01,ASSOCIATION POUR LA SAUVEGARDE DE LA GARE DE BELLEY ET LA CREATION DUN CENTRE DARTS PLASTIQUES,006020,,
011S0011003212,0001-01-01,"ASSOCIATION LATRE - ATELIERS DE TRAVAIL CORPOREL,011000,Residence la pleiade,
011S0011003225,0001-01-01,VOYAGE 96,"23,,01780
011S0011003233,0001-01-01,ASSOCIATION DES CLASSES EN 2,Maison des societes - rue colbert,01500,AMBERIEU-EN-BUGEY
011S0011003243,0001-01-01,ASSOCIATION DE PARENTS DELEVES DAMBRONAY,Co mr faverjon - le petit vallon,01500,AMBRONAY
011S0011003252,0001-01-01,ASSOCIATION UNDERGROUND PRODUCTIONS,"42,,01300
011S0011003256,0001-01-01,ASSOCIATION DES TECHNICIENS SUPERIEURS DAMBERIEU-EN-BUGEY ATSA,Lycee de la plaine de lain - rue leon blum,01500,AMBERIEU-EN-BUGEY
011S0011003257,0001-01-01,LES ANCIENS DU MEKONG,Foyer jean de paris - rue jean mermoz,01500,AMBERIEU-EN-BUGEY
011S0011003258,0001-01-01,ASSOCIATION POUR LE DEVELOPPEMENT HUMAIN ET LEVEIL ARTISTIQUE A.D.H.E.A., adulte et enfant.",Villa amena,
011S0011003259,0001-01-01,RACING GREEN TEAM,1 avenue de la liberation,01500,AMBERIEU-EN-BUGEY
011S0011003278,0001-01-01,COUP DE POUCE,Chez melle isabelle coutinho,01510,ARTEMARE
011S0011003279,0001-01-01,TRANSFEREE A BOURG EN 2006 -COMITE DE LAIN DE HAND BALL,011000,Rue salvador allende,
011S0011003287,0001-01-01,ASSOCIATION ENTENTE SPORTIVE BOULISTE DE LA PLAINE DE LAIN,Centre international de rencontres,01150,SAINT-VULBAS
011S0011003305,0001-01-01,ENERGIE COURSE, ainsi que",La source,Rn 504
011S0011003309,0001-01-01,SOCIETE DE CHASSE DE POSAFOL,013005, posafol",
011S0011003317,0001-01-01,GROUPEMENT DE PROPRIETAIRES ET DE CHASSEURS DE BENONCES,CHEZ M. SONTHONNAX JEAN-MARC,01470,BENONCES
011S0011003324,0001-01-01,TRAVERSES, de ski et de randonnee.",La vallociere,
011S0011003343,0001-01-01,SAUVEGARDE DE LA CHAPELLE DANDERT,024035,,01300
011S0011003344,0001-01-01,ASSOCIATION JAZZ COMPAGNIE AJC,Route de bourg,01110,HAUTEVILLE-LOMPNES
011S0011003361,0001-01-01, CLASSE 1971 , des soirees.",Mairie damberieu en bugey,
011S0011003373,0001-01-01, ASSOCIATION CULTURELLE DES REUNIONNAIS DE CULOZ ,000000,,01350
011S0011003381,0001-01-01, LA BAUGE ,Senoy,01350,CEYZERIEU
011S0011003385,0001-01-01,COXAIN CLUB,28 rue du docteur charcot,01780,SAINT-DENIS-EN-BUGEY
011S0011003387,0001-01-01,ASSOCIATION DE LAMITIE FRANCO-AMERICAINE DE LA FERME DE LA MONTAGNE,CHEZ M. GONNAND ROBERT,01450,ABERGEMENT-DE-VAREY
011S0011003394,0001-01-01,UNION POUR LUTTER CONTRE LEXCLUSION ET LE CHOMAGE ULEC, l aide a la reinsertion et la creation",,
011S0011003399,0001-01-01,RAIDS AVENTURES AU FEMININ,Chemin du village,01300,VIRIGNIN
011S0011003422,0001-01-01,AMBERIEU TAXIS SERVICE PERSONNES AGEES,Mairie,01500,AMBERIEU-EN-BUGEY
011S0011003433,0001-01-01,PARTHENOS SFI,Mas dupuis,01150,SAINTE-JULIE
011S0011003452,0001-01-01,ASSOCIATION SPORTIVE ET CULTURELLE DAMBERIEU EN BUGEY A.S.C.A., recreatives,011400,Mr dakki khalid 8 rue girod de lain
011S0011003455,0001-01-01,ASSOCIATION SUPPORT A LA RADIO ECOLE DU BUGEY,Centre social de belley 170 av paul chastel,01300,BELLEY
011S0011003457,0001-01-01,HAUTEVILLE LOMPNES AUTREMENT,Le bichat,01110,HAUTEVILLE-LOMPNES
011S0011003468,0001-01-01,CARPE DIEM PRODUCTION,Chez monsieur durand frederic,01780,SAINT-DENIS-EN-BUGEY
011S0011003470,0001-01-01,LES ENDURISTES DE LA VALLEE DE LAIN,1 rue du rhone,01790,SAULT-BRENAZ
011S0011003476,0001-01-01,ASSOCIATION COPROPRIETE SISE 9 RUE JUIVERIE A CREMIEU 38460,1 cite du grelozet,01150,BLYES
011S0011003478,0001-01-01,KHORDONG,020000,,
011S0011003491,0001-01-01,ASSOCIATION CULTURE ET LOISIRS, drogue,000000,88 rue de la republique
011S0011003496,0001-01-01,ASSOCIATION COMMUNALE DE CHASSE AGREEE DE PEYRIEU, la repression du brac",Mairie,
011S0011003504,0001-01-01,UNION COMMERCIALE ET ARTISANALE DE LA VALLEE DE LALBARINE,Mairie,01230,SAINT-RAMBERT-EN-BUGEY
011S0011003505,0001-01-01,EQUIPE AIN NORDIQUE,Centre de loisirs et culture,01110,HAUTEVILLE-LOMPNES
011S0011003522,0001-01-01,ARTS SCENE,Chez mr jaillardon luc,01150,SAINT-SORLIN-EN-BUGEY
011S0011003523,0001-01-01,OFFICE DE PRESSE ET DE COMMUNICATION DES COLLECTIVITES LOCALES,005015,,01300
011S0011003536,0001-01-01,LASER, ecrit,000000,31 rue de la resistance
011S0011003537,0001-01-01,VALERIANTE,Mairie abergement de varey,01450,ABERGEMENT-DE-VAREY
011S0011003540,0001-01-01,COMITE DES FETES DE BLYES,Mairie,01150,BLYES
011S0011003543,0001-01-01,GROUPE DACTION COMMUNALE AMBERIEU ESPOIRS, larecherche de la justice,014000,030005
011S0011003553,0001-01-01,GYMNASTIQUE VOLONTAIRE DAMBUTRIX, en milieu naturel,011105,Mairie
011S0011003557,0001-01-01,AMICALE DES CLASSES EN 6,MAIRIE,01360,LOYETTES
011S0011003559,0001-01-01,ETE GALERIE, de lart, concerts, stages et out autre moyen susceptible de concourir a la realisation de lobjet social."
011S0011003574,0001-01-01,AUXILIUM,Roux isabelle,01300,NATTAGES
011S0011003575,0001-01-01,LES LINIERES, dans unpremier temps,017000,020000
011S0011003578,0001-01-01,AMICALE DES CLASSES EN 6,Maison des societes,01500,AMBERIEU-EN-BUGEY
011S0011003583,0001-01-01,ASSOCIATION BOISE DEVELOPPEMENT BUGEY, et de gerer toutes activites favorisant la renomee et l art de vivre local",140 rue saint martin,
011S0011003591,0001-01-01,ASSOCIATION DES RUGBYMEN DAMBERIEU ARA,Stade f. benassy,01500,AMBERIEU-EN-BUGEY
011S0011003592,0001-01-01,ASSOCIATION MACILAND,007000,,01150
011S0011003593,0001-01-01,GROUPEMENT DEMPLOYEURS MARTIN-RONCHET,022000,,01150
011S0011003594,0001-01-01,AMICALE DE CHASSE DE LA GRANGE DES PRES,LA GRANGE DES PRES,01510,BURBANCHE
011S0011003595,0001-01-01,MARIGNIEU EN FLEURS,Chez mle angelot sylviane,01300,MARIGNIEU
011S0011003605,0001-01-01,AMICALE DES PRESIDENTS DE CLUBS DE BASKET DE LAIN,Chez mr kolly jean-pierre,01350,CEYZERIEU
011S0011003620,0001-01-01,LEVEIL DE PREMEYZEL,Salle des fetes,01300,PREMEYZEL
011S0011003625,0001-01-01,SKI CLUB NAUTIQUE,"24,,01300
011S0011003626,0001-01-01,ASSOCIATION AMITIE DE BELLEY,293 rue du 11 rgt de zouaves,01300,BELLEY
011S0011003648,0001-01-01,LES JOYEUX TROUBADOURS,loisir et cadre de vie.",Mairie,
011S0011003649,0001-01-01,ASSOCIATION DES PROPRIETAIRES DU CLOS DES VILLAGEOISES,Mairie,01350,CULOZ
011S0011003655,0001-01-01,ASSOCIATION SPORTIVE RIVIERE DENERGIE.,"48,,01780
011S0011003672,0001-01-01,ECHANGES ET DEVELOPPEMENT,161 rue du tiret,01500,AMBERIEU-EN-BUGEY
011S0011003707,0001-01-01,CENTRE DETUDE ET PROSPECTIVE,015000,,
011S0011003721,0001-01-01,ASSOCIATION LA CORONAISE,000000,,01300
011S0011003722,0001-01-01,ASSOCIATION COLEOPTERE,2 rue de lalbarine,01500,AMBERIEU-EN-BUGEY
011S0011003724,0001-01-01,LE TAMAVILA : GROUPEMENT DEMPLOYEURS,Chez mr angelot eric,01300,MARIGNIEU
011S0011003730,0001-01-01,AMICALE DES COMMERCANTS ET ARTISANS DE LOMPNES,Bar le chalet,01110,HAUTEVILLE-LOMPNES
011S0011003733,0001-01-01,ASSOCIATION  HAPPY SONO,etc lanimation de soirees dansantes sur la commune de marchamp et toutes animations exterieures au village.",Chez mle moyret dominique,
011S0011003736,0001-01-01,FEDERATION NATIONALE DES RETRAITES DE LA GENDARMERIE SECTION DE LAIN,019000,,01300
011S0011003737,0001-01-01,ASSOCIATION BUGEY RALLYE COURSE,Chez mr menut laurent,01470,MONTAGNIEU
011S0011003739,0001-01-01,ASSOCIATION AVENIR DU VILLAGE LABERGEMENT DE VAREY,024035,,00000
011S0011003740,0001-01-01,BUGEY AUTO RACING TEAM,011160,,01300
011S0011003762,0001-01-01,CLASSES EN HUIT,Quai Lamartine,01230,SAINT-RAMBERT-EN-BUGEY
011S0011003764,0001-01-01,CLUB ADOS DE BRIORD,Mairie,01470,BRIORD
011S0011003766,0001-01-01,LA FONTANETTE : QUALITE ET SANTE,000000,,01510
011S0011003794,0001-01-01,SOUTERRAIN,016050,,01780
011S0011003796,0001-01-01,ASSOCIATION F.A.C.I.L.E FACILITER LACCES ET LA COMPREHENSION DINFORMATIONS LUDIQUES ET ECONOMIQUES.,006000, grammont",
011S0011003798,0001-01-01,ANNULEE VOIR Ndeg 3497 ASSOCIATION  LA FONTAINE AUX MERVEILLES, bibliotheque, accueil de",006000
011S0011003803,0001-01-01,DISCO MOBILE CLUB ST SORLIN EN BUGEY ANNULE VOIR 3804,"96,,01150
011S0011003807,0001-01-01,ASSOCIATION JEUNESSE ACTIVE DU VALROMEY,020000,,
011S0011003833,1999-04-01,ASSOCIATION DE FINANCEMENT DE LUNION REGIONALE POUR LA DEMOCRATIE FRANCAISE,"11 bis,,01300
011S0011003834,1999-03-01,UNION REGIONALE POUR LA DEMOCRATIE FRANCAISE,001000, rue des barons",
011S0011003835,1999-03-31,AMICALE CLASSE 63, etc.",Chemin de longeleaz,
011S0011003845,1999-04-10,COXIN CLUB,Chez mlle sylvie couillerot,01500,AMBERIEU-EN-BUGEY
011S0011003854,2004-05-14,COMITE DANIMATION DU VILLAGE DE FLAXIEU, manifestations artistiques et autres,009030,Mairie
011S0011003857,1999-06-16,HORIZON 2000 AIN,Mairie,01350,CULOZ
011S0011003871,1999-08-21,AMICALE RANDONNEURS JOGGERS-GYM DE LOYETTES SAINT VULBAS,000000,,01360
011S0011003872,1999-11-18,EVASION DANSE,Mairie,01150,SAINT-VULBAS
011S0011003879,1999-09-20,ASSOCIATION BRUMES ET VALLEES, le do-in,000000,Rue de la croix
011S0011003900,2002-04-02,MILLE ET UN LIVRES,Mairie,01510,SAINT-MARTIN-DE-BAVEL
011S0011003913,2000-02-07,TEAM PAYS DE LAIN,5 RUE DES CHAUMES,01500,AMBERIEU-EN-BUGEY
011S0011003916,2003-11-05,CHASSE ET PECHE DANS LAIN,Chez m. barge serge,01500,CHATEAU-GAILLARD
011S0011003918,2000-03-08,JEUNE-CLUB LOYETTAIN,Mairie de loyettes,01360,LOYETTES
011S0011003920,2000-03-21,LA MAIN VERTE,Chez m. fernandez henri,01150,CHAZEY-SUR-AIN
011S0011003933,2003-07-16,ASSOCIATION POUR LA RESTAURATION DE LA CHAPELLE DAMEYZIEU,Chez madame brigitte bouet,01510,TALISSIEU
011S0011003940,1991-07-15,KARATE CLUB DE BOUVESSE ET ARTS MARTIAUX AFFINITAIRES,LE CLOS BIZET,01500,SAINT-MAURICE-DE-REMENS
011S0011003948,2000-07-10,LES AMIS DE LIONEL,La combe,01300,ARBIGNIEU
011S0011003972,2000-10-28,LES ANONYMES,Chemin des pierres,01420,CORBONOD
011S0011003988,2001-01-05,CAISSE DE SECOURS DES MONITEURS DE LE.S.F. DHAUTEVILLE,020000,,01110
011S0011004003,2002-03-06,CLUB DE PETANQUE LEYMENTAIS C. P. L.,M. POUARD DIDIER,01150,LEYMENT
011S0011004007,2001-03-24,TRANSPARENCE CITOYENNE, Etude et faire valoir leurs besoins aupres du conseil municipal, difuser les actio",014000
011S0011004015,2001-04-17,LE LIVRE DE FRANCOISE,017000,,
011S0011004023,2003-07-07,ASSOCIATION DES COPROPRIETAIRES LA LOUVATIERE,Chez mme guerin,01300,BELLEY
011S0011004036,2001-06-17,PRO-SPORT ASSOCIATION,19 clos marquis,01150,SAINT-SORLIN-EN-BUGEY
011S0011004037,2001-07-04,COMITE DE JUMELAGE CORMARANCHE-EN-BUGEY - SAINT-JEAN-DU-DOIGT,Mairie,01110,CORMARANCHE-EN-BUGEY
011S0011004039,2001-07-03,SECTION ASSOCIES SUPPORTERS A.S.S.E. - LAGNIEU - LE BUGEY,Mairie,01150,LAGNIEU
011S0011004041,2001-06-29,AVENTURE NATURE MILLENIUM,000000,,01790
011S0011004052,2001-08-31,ROCKN DANSE,006040,,01500
011S0011004054,2001-09-20,ASSOCIATION DE DEFENSE DU RHONE ET DE SES AFFLUENTS ET DE LA PISCICULTURE DE CHAZEY-BONS,024035,,01300
011S0011004056,2001-09-20,ECOLE DE KUNG-FU,011145,,01150
011S0011004070,2004-03-19,TOUS ARTISTES,006100,,01510
011S0011004073,2001-11-09,LES ANES DE LA CALINE,5 rue montferme,01230,SAINT-RAMBERT-EN-BUGEY
011S0011004074,2001-11-09,OBJECTIF RALLYE, ets... A les aider A vivre leur passion, techniques, financiers ou tout autres moyens desti"
011S0011004085,1993-11-20,GROUPEMENT DES PECHEURS SPORTIFS ARENE-FURANS G.P.S. ARENE-FURANS, plans deau,013010,Snack du camping du lac
011S0011004090,2002-02-01,GROUPEMENT DACTION LOCALE VALLEE DE LAIN, conformEment A la communication relative A linitiative communautaire leader plus publiEe au journal officiel des commun",Base de longeville,
011S0011004097,2004-03-26,ASSOCIATION DE CAVALIERS PROPRIETAIRES DE GRAMMONT, perfectionner les cavaliers proprietaires A la pratique Equestre en vue de compEtitions. prEparer aux examens fEdEraux les cavaliers propirEtaires",Ferme du chateau de grammont,
011S0011004098,2002-02-18,CLUB EVASION,000000,,01150
011S0011004103,2002-03-06,LA CLE DES CHANTS,006030,,01350
011S0011004106,2002-03-12,ASSOCIATION DES RIVERAINS DE LAERODROME DE CORBONOD,014000,,
011S0011004114,2002-03-29,AMBERIEU ECOUTE ACTIONS,Chez m. bernard fontaniere,01500,AMBERIEU-EN-BUGEY
011S0011004115,2002-04-03,ASSOCIATION POUR LECHANGE DES JEUNES,Bat. 5 hlm les crets,01350,CULOZ
011S0011004129,2005-06-24,SALLE DES JEUNES DARGIS SJDA,Mairie,01970,ARGIS
011S0011004133,2002-05-28,ASSOCIATION CULTURELLE TUNISIENNE DAMBERIEU ET SA REGION ACTAR,Chez m. ben brahim mohamed el mouldi,01150,LAGNIEU
011S0011004142,2002-06-24,MAISON MEDICALE DE GARDE DE LA PLAINE DE LAIN,Chez le dr. michel gadot,01500,AMBERIEU-EN-BUGEY
011S0011004147,2002-07-08,AINDOLOR, sur la prise en charge de la douleur aigue et chronique",Chez m. philippe dubois,Lot. claizeau
011S0011004149,2002-07-31,JMP ZIK,289 rue des muriers,01500,CHATEAU-GAILLARD
011S0011004153,2002-08-09,LES JEUNES LEYMENTAIS,Mairie,01150,LEYMENT
011S0011004173,2002-10-18,CLAIRJOY,Mairie,01300,PREMEYZEL
011S0011004179,1990-01-25,KUTE MICHI BUN BU RYU DO, naginata-do : ainsi que letude de la culture japonaise",Chez m. henri castanino,205 rue jean miguet
011S0011004191,2002-12-13,LES ANGES - ULM,011135,,01150
011S0011004195,2003-01-03,OLYMPIC 2000,Chez mathoulin laurence olympic 2000,01780,SAINT-DENIS-EN-BUGEY
011S0011004199,2003-01-13,RUREMPLOI,022520,,
011S0011004201,2003-01-16,ASSOCIATION DE LA GRANGE DE LA TOUR, privees ou assoc",Mairie de corbonod,Gignez
011S0011004211,2003-02-12,CONCEPT VOYAGES ORGANISATIONS,006000, bp 3",
011S0011004213,2003-02-19,LE CHAMP DHONNEUR, les etudes et les recherches sur lhistoire des nations sans limite geographique",102 chemin de ruisson,
011S0011004229,2003-03-31,ASSOCIATION DES AMIS MULTI-SPORTS A.D.A.M.S., en accord avec les federations concernees",Chez m. jean-michel vallon,Hameau de chantigneux
011S0011004234,2003-04-09,BASSE-COUR CLUB DU BUGEY,022000,6 chemin de longeraie,
011S0011004248,2003-05-19,FLORALHUIS,Mairie,01680,LHUIS
